school_id,district_id,triplet_id,year,treatment,SD,nrrombel,nrstudents,classsize,nrteachers
178,10,60,0,control,primary school,6,166,27.666666,6
172,10,58,0,treatment,primary school,6,212,35.333332,6
179,10,60,0,control,primary school,6,132,22,10
173,10,58,0,control,primary school,6,33,5.5,5
175,10,59,0,control,primary school,6,105,17.5,9
180,10,60,0,treatment,primary school,6,146,24.333334,6
169,10,57,0,treatment,primary school,6,101,16.833334,2
174,10,58,0,control,primary school,6,75,12.5,3
170,10,57,0,control,primary school,6,109,18.166666,8
171,10,57,0,control,primary school,6,136,22.666666,6
176,10,59,0,control,primary school,6,69,11.5,6
177,10,59,0,treatment,primary school,6,75,12.5,5
163,10,55,0,control,junior secondary school,4,79,19.75,5
166,10,56,0,control,junior secondary school,6,95,15.833333,7
167,10,56,0,control,junior secondary school,7,117,16.714285,9
164,10,55,0,control,junior secondary school,9,136,15.111111,9
165,10,55,0,treatment,junior secondary school,5,90,18,5
168,10,56,0,treatment,junior secondary school,3,48,16,6
226,13,76,0,control,primary school,6,185,30.833334,6
227,13,76,0,control,primary school,6,147,24.5,7
232,13,78,0,control,primary school,6,174,29,6
223,13,75,0,control,primary school,6,133,22.166666,6
228,13,76,0,treatment,primary school,6,193,32.166668,7
229,13,77,0,control,primary school,6,138,23,7
224,13,75,0,treatment,primary school,6,127,21.166666,6
230,13,77,0,control,primary school,6,145,24.166666,6
231,13,77,0,treatment,primary school,6,113,18.833334,7
233,13,78,0,control,primary school,6,180,30,6
234,13,78,0,treatment,primary school,6,141,23.5,6
225,13,75,0,control,primary school,6,116,19.333334,6
217,13,73,0,treatment,junior secondary school,6,126,21,10
220,13,74,0,control,junior secondary school,24,588,24.5,24
221,13,74,0,control,junior secondary school,6,134,22.333334,9
218,13,73,0,control,junior secondary school,4,70,17.5,5
219,13,73,0,control,junior secondary school,30,820,27.333334,27
222,13,74,0,treatment,junior secondary school,10,192,19.200001,8
97,6,33,0,control,primary school,6,146,24.333334,7
98,6,33,0,control,primary school,7,180,25.714285,8
103,6,35,0,control,primary school,9,199,22.111111,7
100,6,34,0,control,primary school,6,179,29.833334,6
104,6,35,0,control,primary school,6,190,31.666666,7
101,6,34,0,treatment,primary school,10,254,25.4,11
105,6,35,0,treatment,primary school,6,182,30.333334,6
106,6,36,0,treatment,primary school,12,367,30.583334,12
107,6,36,0,control,primary school,6,161,26.833334,6
102,6,34,0,control,primary school,6,194,32.333332,6
108,6,36,0,control,primary school,10,331,33.099998,12
99,6,33,0,treatment,primary school,8,247,30.875,8
91,6,31,0,treatment,junior secondary school,12,313,26.083334,13
94,6,32,0,treatment,junior secondary school,26,699,26.884615,24
92,6,31,0,control,junior secondary school,12,335,27.916666,13
95,6,32,0,control,junior secondary school,21,534,25.428572,22
93,6,31,0,control,junior secondary school,16,413,25.8125,19
96,6,32,0,control,junior secondary school,18,471,26.166666,20
16,1,6,0,treatment,primary school,13,251,19.307692,13
13,1,5,0,control,primary school,6,40,6.6666665,7
14,1,5,0,control,primary school,6,147,24.5,6
10,1,4,0,control,primary school,8,187,23.375,8
7,1,3,0,treatment,primary school,6,87,14.5,5
11,1,4,0,treatment,primary school,6,58,9.666667,6
12,1,4,0,control,primary school,6,61,10.166667,7
17,1,6,0,control,primary school,6,87,14.5,6
15,1,5,0,treatment,primary school,10,197,19.700001,10
8,1,3,0,control,primary school,6,98,16.333334,6
9,1,3,0,control,primary school,6,154,25.666666,5
18,1,6,0,control,primary school,6,116,19.333334,6
4,1,2,0,control,junior secondary school,15,420,28,12
1,1,1,0,control,junior secondary school,9,217,24.111111,8
5,1,2,0,control,junior secondary school,12,267,22.25,11
2,1,1,0,control,junior secondary school,9,164,18.222221,9
6,1,2,0,treatment,junior secondary school,15,318,21.200001,11
3,1,1,0,treatment,junior secondary school,4,70,17.5,5
340,19,114,0,control,primary school,6,72,12,6
331,19,111,0,control,primary school,6,178,29.666666,6
334,19,112,0,control,primary school,7,269,38.42857,7
337,19,113,0,control,primary school,6,190,31.666666,6
335,19,112,0,control,primary school,6,198,33,6
336,19,112,0,treatment,primary school,7,200,28.571428,7
341,19,114,0,control,primary school,8,206,25.75,8
332,19,111,0,control,primary school,6,144,24,6
342,19,114,0,treatment,primary school,6,193,32.166668,6
338,19,113,0,treatment,primary school,8,285,35.625,8
333,19,111,0,treatment,primary school,6,97,16.166666,6
339,19,113,0,control,primary school,6,205,34.166668,6
325,19,109,0,treatment,junior secondary school,6,132,22,6
326,19,109,0,control,junior secondary school,8,178,22.25,7
328,19,110,0,control,junior secondary school,22,593,26.954546,19
329,19,110,0,treatment,junior secondary school,23,583,25.347826,19
330,19,110,0,control,junior secondary school,14,348,24.857143,10
327,19,109,0,control,junior secondary school,8,120,15,9
85,5,29,0,control,primary school,6,118,19.666666,6
82,5,28,0,control,primary school,6,166,27.666666,6
83,5,28,0,control,primary school,6,177,29.5,6
88,5,30,0,control,primary school,6,60,10,6
89,5,30,0,treatment,primary school,6,41,6.8333335,6
84,5,28,0,treatment,primary school,6,140,23.333334,6
90,5,30,0,control,primary school,6,182,30.333334,8
86,5,29,0,control,primary school,6,140,23.333334,7
79,5,27,0,treatment,primary school,6,97,16.166666,7
87,5,29,0,treatment,primary school,6,112,18.666666,6
80,5,27,0,control,primary school,6,46,7.6666665,6
81,5,27,0,control,primary school,6,50,8.333333,6
76,5,26,0,treatment,junior secondary school,20,474,23.700001,25
73,5,25,0,control,junior secondary school,20,483,24.15,20
74,5,25,0,treatment,junior secondary school,19,498,26.210526,18
75,5,25,0,control,junior secondary school,16,410,25.625,17
77,5,26,0,control,junior secondary school,18,456,25.333334,21
78,5,26,0,control,junior secondary school,18,443,24.611111,17
205,12,69,0,treatment,primary school,12,324,27,13
211,12,71,0,control,primary school,6,215,35.833332,7
206,12,69,0,control,primary school,7,189,27,8
212,12,71,0,treatment,primary school,6,208,34.666668,6
208,12,70,0,treatment,primary school,6,119,19.833334,7
214,12,72,0,treatment,primary school,6,157,26.166666,6
