teacher_id,school_id,district_id,triplet_id,year,tested,interviewed,treatment,SD,quota,certified,PAID,TARGET,NOTELIGIBLE,ngscore,S1,pursue,secondjob,secondjobhours,base_pay,additional_pay,certification_pay,totalpay,problems,happy,absent,quota_year
2170,178,10,60,2,tested,interviewed,control,primary school,not in quota,not certified,0,1,0,-.87538052,no bachelor's degree,0,no second job,0,2.7528,1.5635,0,4.3162999,yes,yes,0,
2167,178,10,60,2,tested,interviewed,control,primary school,not in quota,not certified,0,1,0,-1.6991278,no bachelor's degree,0,no second job,0,2.4732,1.926659,0,4.399859,yes,yes,0,
2168,178,10,60,2,tested,interviewed,control,primary school,not in quota,not certified,0,0,1,-.71063119,,1,second job,6,1.5774,1.788169,0,3.3655691,no,yes,0,
2169,178,10,60,2,not tested,not interviewed,control,primary school,,,0,0,1,,,,,,,,,,,,,
2173,178,10,60,2,tested,interviewed,control,primary school,not in quota,not certified,0,0,1,-1.2048795,no bachelor's degree,0,no second job,0,2.2445,1.922563,0,4.1670628,yes,yes,0,
2172,178,10,60,2,tested,interviewed,control,primary school,not in quota,not certified,0,0,1,-.87538052,no bachelor's degree,0,no second job,0,1.5886,1.789737,0,3.3783369,yes,yes,0,
2171,178,10,60,2,not tested,not interviewed,control,primary school,,,,,,,,,,,,,,,,,,
2176,179,10,60,2,tested,interviewed,control,primary school,in quota,certified,0,1,0,-1.5343783,no bachelor's degree,0,no second job,0,2.6868,1.236033,0,3.922833,yes,yes,0,2009
2179,179,10,60,2,tested,interviewed,control,primary school,not in quota,not certified,0,0,1,-1.04013,no bachelor's degree,1,no second job,0,1.5396,.670744,0,2.2103441,yes,yes,0,
2178,179,10,60,2,not tested,not interviewed,control,primary school,,,,,,,,,,,,,,,,,,
2177,179,10,60,2,tested,interviewed,control,primary school,not in quota,not certified,0,0,1,.11311606,no bachelor's degree,0,no second job,0,1.8301,.62551397,0,2.4556141,yes,yes,0,
2184,179,10,60,2,tested,interviewed,control,primary school,not in quota,not certified,0,0,1,-.71063119,no bachelor's degree,0,second job,3,2.3561,.36930001,0,2.7254,yes,yes,0,
2185,179,10,60,2,tested,interviewed,control,primary school,not in quota,not certified,0,1,0,-1.3696289,no bachelor's degree,0,no second job,0,2.8204,1.010343,0,3.8307431,yes,yes,0,
