teacher_id,school_id,district_id,triplet_id,year,treatment,SD,g_score,TARGET,ALREADYCERTIFIED,NOTELIGIBLE,S1,rank4,PAID,base_pay,additional_pay,certification_pay,secondjob,secondjobhours,quota
2086,166,10,56,0,control,junior secondary school,.34482759,1,0,0,bachelor's degree,no rank 4,0,1.4407,0,0,second job,12,not in quota
2085,166,10,56,0,control,junior secondary school,.34482759,0,0,1,no bachelor's degree,no rank 4,0,1.1253,0,0,second job,0,not in quota
2082,166,10,56,0,control,junior secondary school,.34482759,1,0,0,no bachelor's degree,rank 4,0,2.4907,0,0,second job,6,not in quota
2081,166,10,56,0,control,junior secondary school,.30632183,1,0,0,no bachelor's degree,rank 4,0,2.3323,0,0,second job,0,not in quota
2084,166,10,56,0,control,junior secondary school,.30632183,1,0,0,no bachelor's degree,rank 4,0,2.3323,0,0,no second job,0,in quota
2087,166,10,56,0,control,junior secondary school,.25641027,0,0,1,no bachelor's degree,no rank 4,0,1.656,0,0,second job,0,not in quota
2083,166,10,56,0,control,junior secondary school,,0,0,1,no bachelor's degree,no rank 4,0,2.0806,0,0,no second job,0,not in quota
2079,166,10,56,0,control,junior secondary school,.84615386,,,,,,,,,,,,
2099,167,10,56,0,control,junior secondary school,.55172414,1,0,0,no bachelor's degree,rank 4,0,1.7384,0,0,no second job,0,in quota
2093,167,10,56,0,control,junior secondary school,.44827586,0,1,0,bachelor's degree,no rank 4,1,1.3096,0,1.11316,no second job,0,in quota
2100,167,10,56,0,control,junior secondary school,,1,0,0,no bachelor's degree,rank 4,0,2.0475,0,0,no second job,0,not in quota
2101,167,10,56,0,control,junior secondary school,.33333334,0,0,1,bachelor's degree,no rank 4,0,.4,0,0,no second job,0,not in quota
2098,167,10,56,0,control,junior secondary school,,0,0,1,no bachelor's degree,no rank 4,0,1.535,0,0,no second job,0,not in quota
2089,167,10,56,0,control,junior secondary school,.34482759,0,0,1,bachelor's degree,no rank 4,0,.4,0,0,no second job,0,not in quota
2091,167,10,56,0,control,junior secondary school,.33333334,1,0,0,no bachelor's degree,no rank 4,0,1.7455,0,0,no second job,0,not in quota
2097,167,10,56,0,control,junior secondary school,.33333334,1,0,0,no bachelor's degree,no rank 4,0,1.636382,.85821199,0,no second job,0,not in quota
2102,167,10,56,0,control,junior secondary school,,0,0,1,bachelor's degree,no rank 4,0,.2,0,0,no second job,0,not in quota
2105,168,10,56,0,treatment,junior secondary school,.37931034,1,0,0,bachelor's degree,no rank 4,0,.1,0,0,second job,5,not in quota
2107,168,10,56,0,treatment,junior secondary school,,0,0,1,no bachelor's degree,no rank 4,0,1.6965,0,0,second job,3,not in quota
2110,168,10,56,0,treatment,junior secondary school,.1,1,0,0,no bachelor's degree,rank 4,0,2.2996,0,0,second job,4,in quota
2106,168,10,56,0,treatment,junior secondary school,.25641027,0,0,1,no bachelor's degree,no rank 4,0,1.3021,0,0,no second job,0,not in quota
2109,168,10,56,0,treatment,junior secondary school,.24242425,1,0,0,no bachelor's degree,rank 4,0,2.3727,0,0,no second job,0,in quota
2103,168,10,56,0,treatment,junior secondary school,.36363637,1,0,0,bachelor's degree,no rank 4,0,.15,.366667,0,second job,24,not in quota
2808,226,13,76,0,control,primary school,.31111112,1,0,0,no bachelor's degree,rank 4,0,2.7444,.43130001,0,no second job,0,not in quota
2809,226,13,76,0,control,primary school,.48888889,1,0,0,bachelor's degree,no rank 4,0,2.2764,.36930001,0,no second job,0,not in quota
2813,226,13,76,0,control,primary school,.31111112,1,0,0,no bachelor's degree,rank 4,0,2.6144,.82962799,0,no second job,0,not in quota
2816,226,13,76,0,control,primary school,.66666669,1,0,0,bachelor's degree,no rank 4,0,1.8693,.36930001,0,no second job,0,not in quota
2810,226,13,76,0,control,primary school,.48888889,1,0,0,no bachelor's degree,rank 4,0,2.6144,.82962799,0,no second job,0,not in quota
2815,226,13,76,0,control,primary school,.48888889,1,0,0,no bachelor's degree,rank 4,0,2.4907,.90689802,0,second job,4,not in quota
2824,227,13,76,0,control,primary school,.51111114,0,0,1,no bachelor's degree,no rank 4,0,2.3323,.82172197,0,no second job,0,not in quota
2817,227,13,76,0,control,primary school,.53333336,1,0,0,no bachelor's degree,rank 4,0,2.5518,.82211602,0,no second job,0,not in quota
2825,227,13,76,0,control,primary school,.48888889,0,0,1,no bachelor's degree,no rank 4,0,1.403,.3283,0,no second job,0,not in quota
2821,227,13,76,0,control,primary school,.48888889,0,0,1,no bachelor's degree,no rank 4,0,2.3323,.82172197,0,no second job,0,not in quota
2822,227,13,76,0,control,primary school,.46666667,0,0,1,no bachelor's degree,no rank 4,0,.2,0,0,second job,0,not in quota
2820,227,13,76,0,control,primary school,.48888889,1,0,0,no bachelor's degree,rank 4,0,2.5518,.915452,0,no second job,0,not in quota
2819,227,13,76,0,control,primary school,,0,1,0,bachelor's degree,rank 4,1,2.5518,1.036453,1.8004,no second job,0,in quota
2863,232,13,78,0,control,primary school,.42222223,1,0,0,no bachelor's degree,rank 4,0,2.6144,.43130001,0,no second job,0,not in quota
2871,232,13,78,0,control,primary school,.35555556,1,0,0,no bachelor's degree,rank 4,0,2.6786,.544204,0,second job,1,not in quota
2866,232,13,78,0,control,primary school,.42222223,0,0,1,no bachelor's degree,no rank 4,0,1.4374,.51269603,0,no second job,0,not in quota
2862,232,13,78,0,control,primary school,.2888889,0,1,0,bachelor's degree,rank 4,1,2.6786,.933204,1.90978,second job,4,in quota
2873,232,13,78,0,control,primary school,.26666668,0,0,1,no bachelor's degree,no rank 4,0,1.535,.66960001,0,second job,5,not in quota
2864,232,13,78,0,control,primary school,.40000001,0,0,1,no bachelor's degree,no rank 4,0,1.4982,.33829999,0,no second job,0,not in quota
2865,232,13,78,0,control,primary school,.31111112,0,0,1,,,0,,,,,,
2870,232,13,78,0,control,primary school,.48888889,,,0,,,,,,,,,
2872,232,13,78,0,control,primary school,.40000001,,,,,,,,,,,,
2867,232,13,78,0,control,primary school,.22222222,,,0,,,,,,,,,
